Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "GET //dm/messages/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&dm_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:46] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&u_id=4 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:47] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJzZXNzaW9uX2lkIjoxfQ.f9EmOjBa0R_aGDgrRp3kVzUs8Ox2ANNeooOgxCUcrI8&channel_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:39:48] "POST /channels/create/v2 HTTP/1.1" 200 -
